ID,Name,Year,Big-Img url,Img-Gal-url,Slug,D/M
ITW-18-M,Into The Woods,2018,,,into-the-woods,M
TC-17-D,The Crucible,2017,,,the-crucible,D
AF-17-M,Addams Family,2017,,,addams-family,M
RWOWS-16-D,The Real Works Of William Shakespeare,2016,,,real-works-of-shakespeare,D
NW-16-M,Nice Work if You Can Get it,2016,,,nice-work,M
H-15-D,Harvey,2015,,,harvey,D
KMK-15-M,Kiss Me Kate,2015,,,kiss-me-kate,M
OOTI-14-M,Once on This Island,2014,,,once-on-this-island,M
IHD-14-D,Is He Dead,2014,,,is-he-dead,D
OT-13-D,Our Town,2013,,,our-town,D
UT-13-M,Urine Town,2013,,,urine-town,M
AG-12-M,Anything Goes,2012,,,anything-goes,M
MSND-12-D,A Midsummer Night's Dream,2012,,,midsummer-nights-dream,D
GAD-11-M,Guys and Dolls,2011,,,guys-and-dolls,M
12AJ-18-D,12 Angry Jurors,2018,,,twelve-angry-jurors,D